,route,program,implementation_date,Borough
0,B25,ACE,2024-09-30,Brooklyn
1,B26,ACE,2024-09-30,Brooklyn
2,B35,ACE,2024-09-16,Brooklyn
3,B41,ACE,2024-09-16,Brooklyn
4,B42,ACE,2024-09-16,Brooklyn
5,B44+,ACE,2024-06-20,Brooklyn
6,B46+,ACE,2024-06-20,Brooklyn
7,B62,ACE,2024-06-20,Brooklyn
8,B82+,ACE,2024-09-30,Brooklyn
9,BX12+,ACE,2024-06-20,Bronx
10,BX19,ACE,2024-06-20,Bronx
11,BX20,ACE,2025-09-15,Bronx
12,BX28,ACE,2024-09-16,Bronx
13,BX3,ACE,2025-09-15,Bronx
14,BX35,ACE,2024-09-16,Bronx
15,BX36,ACE,2024-06-20,Bronx
16,BX38,ACE,2024-09-16,Bronx
17,BX41+,ACE,2024-06-20,Bronx
18,BX5,ACE,2025-05-27,Bronx
19,BX6+,ACE,2024-09-30,Bronx
20,BX7,ACE,2025-09-15,Bronx
21,M100,ACE,2025-05-27,Manhattan
22,M101,ACE,2024-09-16,Manhattan
23,M14+,ACE,2024-06-20,Manhattan
24,M15+,ACE,2024-06-20,Manhattan
25,M2,ACE,2025-05-19,Manhattan
26,M23+,ACE,2024-06-20,Manhattan
27,M34+,ACE,2024-06-20,Manhattan
28,M4,ACE,2025-05-19,Manhattan
29,M42,ACE,2025-05-27,Manhattan
30,M60+,ACE,2024-09-30,Manhattan
31,M79+,ACE,2024-09-30,Manhattan
32,M86+,ACE,2024-09-30,Manhattan
33,Q43,ACE,2024-09-16,Queens
34,Q44+,ACE,2024-06-20,Queens
35,Q5,ACE,2024-09-30,Queens
36,Q53+,ACE,2024-09-30,Queens
37,Q54,ACE,2024-06-20,Queens
38,Q58,ACE,2024-06-20,Queens
39,Q6,ACE,2025-09-15,Queens
40,Q69,ACE,2024-09-30,Queens
41,S46,ACE,2024-09-16,Staten Island
42,S79+,ACE,2024-09-16,Staten Island
